,Tweet
0,let’s always remember this as my final tweet
1,let’s break one last window before we get outa here i caught this guy with kim good night
2,popbase kanye west promotes his  presidential campaign with symbol that seems to be a swastika inside the star of david
3,basilbobby the clues were there all along
4,well everyone we had a nice run jesus is king
5,never turn our backs demna and the balenciaga family for life cancel cancel culture jesus please heal
6,i stand by balenciaga and denounce all witch hunts and i cancel cancel culture jesus is king ending trafficking doesn’t start or end with a fashion campaign for christ sake
7,he’s done miracles on me
8,the use of porn destroyed my family but jesus will heal everythin
9,remove any and all forms of pornography from twitter and every platform pornography is the product of pediphilia when grown men look at porn they are watching someone’s daughter relive trauma for money
10,god loves balenciaga love is the answer jesus is the answer praying for all of the innocent artist and beautiful humans who make clothing that had nothing to do with the adds peoples grandmothers work their for christ sak
11,what is it about miami that makes me feel like scarface pluto call it skiami  the war is over time to love lovespeech
12,waves
13,worldstar kanyewest presidential posturing
14,worldstar kanyewest praying for world peace 👀💯🙏 kanyewest
15,keenermb whether you took something away from the alex jones kanye west ali alexander nick fuentes laura loomer mash up—or you tho…
16,reborn
17,courrielche opinion what ye did today was the christian version of what many punks did in the  fuck your villains a rebellion…
18,love everyone lovespeech
19,majestyria uh oh alex jones on kyrie  black jews
20,majestyria ye said he love everybody even nazi’s bc they invented the microphones he use he said he love everybody even the surgeon…
21,celticsgrd jaylen brown on playing in front of the prince and princess
22,iightworks he had alex jones stress laughing you know how crazy that is
23,a prayer for world peacedear god thank you for all creation in the spirit of jesus of nazareth and all teachers of peace who inspire the many faith traditions help me and all the people of the world learn how to replace hate war oppression and division with love
24,dondatimes kanye is on infowars with a holy bible in his hand
25,legendaryenergy stalin  hitler were both time magazine man of the year alyssa milano switched from a tesla to a car founded by nazis…
26,legendaryenergy well that wraps up the craziest interview in modern history download it save it that’s a free man walking the most…
27,justmattbentley kanye only has about  chances left and then i’m don
28,legendaryenergy ye said he loves everyone  everyone can be healed“i love jewish people but i also love nazis” this is going to b…
29,praise god
30,jesus is king
31,investigate the civil rights and due process violations of the  political prisonerswhy were the only people killed unarmed protestors that dayfree alexfree nicholasfree speechfree ali
32,christ is king — america first groyper  njfcheck us out
