,Tweet
0,Let’s always remember this as my final tweet # 
1,Let’s break one last window before we get outa here I caught this guy with Kim Good night 
2, : Kanye West promotes his  Presidential campaign with symbol that seems to be a swastika inside the Star of David. 
3, : the clues were there all along 
4,Well everyone We had a nice run Jesus is King 
5,Never turn our backs Demna and the Balenciaga family for life Cancel cancel culture Jesus please heal 
6,I stand by Balenciaga and denounce all witch hunts and I cancel cancel culture Jesus is King Ending trafficking doesn’t start or end with a fashion campaign for Christ Sake 
7,He’s done miracles on me 
8,The use of Porn destroyed my family but Jesus will heal everythin
9,Remove any and all forms of pornography from Twitter and every platform Pornography is the product of pediphilia When grown men look at porn they are watching someone’s daughter relive trauma for money
10,God loves Balenciaga Love is the answer Jesus is the answer Praying for all of the innocent artist and beautiful humans who make clothing that had nothing to do with the adds Peoples grandmothers work their for Christ sak
11,What is it about Miami that makes me feel like Scarface Pluto call it Skiami # The war is over Time to Love #LOVESPEECH
12,Waves # 
13, :   Presidential Posturing # 
14, : #KanyeWest praying for world peace! 👀💯🙏  
15," : Whether you took something away from the Alex Jones, Kanye West, Ali Alexander, Nick Fuentes, Laura Loomer mash up—or you tho…"
16,REBORN  
17," : Opinion: What Ye did today was the Christian version of what many punks did in the . ""Fuck your villains!"" A rebellion…"
18, LOVE EVERYONE #LOVESPEECH 
19, : Uh Oh! Alex Jones on Kyrie & Black Jews 
20," : Ye said he love everybody, even Nazi’s bc they invented the microphones he use. He said he love everybody even the surgeon…"
21, : Jaylen Brown on playing in front of the Prince and Princess: 
22, : he had alex jones stress laughing you know how crazy that is 
23,"A PRAYER FOR WORLD PEACE
Dear God, thank You for all creation. In the spirit of Jesus of Nazareth and all teachers of peace who inspire the many faith traditions, help me, and all the people of the world, learn how to replace hate, war, oppression, and division with love "
24, : Kanye is on InfoWars with a Holy Bible in his hand 
25, : Stalin & Hitler were both Time Magazine Man of the Year. Alyssa Milano switched from a Tesla to a car founded by Nazis…
26, : Well that wraps up the craziest interview in modern history. Download it. Save it. That’s a free man walking. The most…
27," : Kanye only has about , chances left and then I’m don"
28," : Ye said he loves everyone & everyone can be healed.
“I love Jewish people. But I also love Nazis.” This is going to b…"
29,Praise God 
